IUPAC,Galectin-3 (20ug/ml) Slide:13619,Gal-3C (0.5ug/ml) Slide:15163,Gal-3C (2ug/ml) Slide:15156,Gal-3C (5ug/ml) Slide:15161,Gal-3C (20ug/ml) Slide:15157,Gal-3C (50ug/ml) Slide:15162,binding
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.4909,8.754225,16.6701,5.170325,15.746,42.739475,low
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(b1-Sp14,21.1412,19.290225,14.284025,17.566925,19.03625,10.0032,low
Gal(b1-4)GlcNAc(b1-Sp0,21.03215,17.074275,18.333225,26.79395,11.55565,31.12125,low
Gal(b1-4)GlcNAc(b1-Sp8,5.6726,16.6074,9.39505,15.497125,22.342475,53.3306,low
Gal(b1-4)GlcNAc(b1-Sp23,10.264175,2.293775,7.78055,10.313275,9.487525,16.1589,low
Gal(b1-4)Glc(b1-Sp0,4.9656,15.6811,5.363075,22.587525,11.3142,23.044325,low
Gal(b1-4)Glc(b1-Sp8,8.419875,12.859625,6.690475,6.58995,7.936325,8.799325,low
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,2.3973,12.07435,7.560075,6.034125,26.156575,18.498675,low
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,4.1979,12.61365,17.17525,12.58045,18.23885,27.801975,low
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,12.30315,23.5876,12.1343,20.7233,15.62745,11.364975,low
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,15.334375,5.276925,23.5998,12.62385,17.782825,16.704425,low
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,13.427125,11.7513,12.7923,11.686175,7.724575,25.165325,low
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,12.647525,11.586675,28.965825,8.130475,11.8269,13.178225,low
GlcNAc(b1-3)GalNAc(a1-Sp8,3.6232,6.21715,11.984075,12.862125,5.503475,20.408725,low
GlcNAc(b1-3)GalNAc(a1-Sp14,4.661,25.620775,8.449225,17.019425,10.416275,18.43345,low
GlcNAc(b1-3)Gal(b1-Sp8,8.049275,20.553075,8.389825,8.359375,4.49985,14.5335,low
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,11.20255,19.8009,13.088325,31.252425,177.741775,321.891175,low
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,18.560325,24.38795,20.2464,22.976275,209.0796,598.6347,low
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,43.972225,41.57895,622.40515,1750.41365,7397.48935,13211.24538,medium
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,1.822525,10.609625,13.20055,17.7725,16.974725,23.1232,low
GlcNAc(b1-MDPLys,5.36275,7.5513,8.3062,27.7222,17.662025,27.701175,low
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,4.181075,13.759025,15.27425,21.815625,22.075575,11.418625,low
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,6.885975,8.556875,7.773225,11.096725,14.84155,11.080375,low
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,7.96345,22.7578,21.64805,19.14995,11.825625,12.238975,low
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,2.799575,6.865275,7.9816,11.654075,13.8918,5.6115,low
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,14.659025,9.858325,-1.65125,14.884925,10.415175,5.476475,low
